step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
1,10.7892,,48493.59,,8931,222889.8,222889.8,1990656,222.9,222.9,3.00e-05,0.8100,bf16,1.5B,12,162,1944,1564837888
2,10.5444,,37964.15,,9119,218290.3,218290.3,3981312,441.2,441.2,6.00e-05,2.8212,bf16,1.5B,12,162,1944,1564837888
3,10.2273,,27646.76,,9192,216572.2,216572.2,5971968,657.8,657.8,9.00e-05,4.6079,bf16,1.5B,12,162,1944,1564837888
4,9.9867,,21735.09,,9259,215005.8,215005.8,7962624,872.8,872.8,1.20e-04,4.7942,bf16,1.5B,12,162,1944,1564837888
5,9.7043,,16388.21,,9297,214125.5,214125.5,9953280,1086.9,1086.9,1.50e-04,4.6267,bf16,1.5B,12,162,1944,1564837888
6,9.4024,,12117.14,,9331,213346.2,213346.2,11943936,1300.2,1300.2,1.80e-04,4.7529,bf16,1.5B,12,162,1944,1564837888
7,9.0827,,8802.00,,9363,212609.6,212609.6,13934592,1512.8,1512.8,2.10e-04,4.5055,bf16,1.5B,12,162,1944,1564837888
8,8.7338,,6209.40,,9402,211717.6,211717.6,15925248,1724.6,1724.6,2.40e-04,4.4094,bf16,1.5B,12,162,1944,1564837888
9,8.3893,,4399.71,,9441,210854.2,210854.2,17915904,1935.4,1935.4,2.70e-04,4.2221,bf16,1.5B,12,162,1944,1564837888
10,8.1171,,3351.38,,9430,211089.2,211089.2,19906560,2146.5,2146.5,3.00e-04,3.7888,bf16,1.5B,12,162,1944,1564837888
11,7.8647,,2603.76,,9440,210879.6,210879.6,21897216,2357.4,2357.4,3.00e-04,3.0886,bf16,1.5B,12,162,1944,1564837888
12,7.6370,,2073.59,,9416,211420.8,211420.8,23887872,2568.8,2568.8,3.00e-04,3.1128,bf16,1.5B,12,162,1944,1564837888
13,7.4946,,1798.27,,9335,213245.8,213245.8,25878528,2782.0,2782.0,3.00e-04,2.7379,bf16,1.5B,12,162,1944,1564837888
14,7.4928,,1795.13,,9398,211809.7,211809.7,27869184,2993.9,2993.9,3.00e-04,2.4137,bf16,1.5B,12,162,1944,1564837888
15,7.3628,,1576.17,,9408,211599.7,211599.7,29859840,3205.5,3205.5,3.00e-04,3.1300,bf16,1.5B,12,162,1944,1564837888
16,7.3164,,1504.84,,9398,211817.2,211817.2,31850496,3417.3,3417.3,3.00e-04,2.4796,bf16,1.5B,12,162,1944,1564837888
17,7.5147,,1834.80,,9405,211656.2,211656.2,33841152,3628.9,3628.9,3.00e-04,2.3141,bf16,1.5B,12,162,1944,1564837888
18,7.6144,,2027.27,,9408,211584.9,211584.9,35831808,3840.5,3840.5,3.00e-04,6.8224,bf16,1.5B,12,162,1944,1564837888
19,7.7858,,2406.16,,9432,211061.9,211061.9,37822464,4051.6,4051.6,3.00e-04,7.8891,bf16,1.5B,12,162,1944,1564837888
20,7.8387,,2536.97,,9449,210674.2,210674.2,39813120,4262.3,4262.3,3.00e-04,7.5736,bf16,1.5B,12,162,1944,1564837888
21,7.6829,,2170.90,,9459,210452.8,210452.8,41803776,4472.7,4472.7,3.00e-04,5.8194,bf16,1.5B,12,162,1944,1564837888
22,7.5918,,1981.82,,9463,210369.5,210369.5,43794432,4683.1,4683.1,3.00e-04,4.1622,bf16,1.5B,12,162,1944,1564837888
23,7.4448,,1710.87,,9462,210380.2,210380.2,45785088,4893.5,4893.5,3.00e-04,2.6636,bf16,1.5B,12,162,1944,1564837888
24,7.3358,,1534.24,,9368,212505.7,212505.7,47775744,5106.0,5106.0,2.99e-04,1.6980,bf16,1.5B,12,162,1944,1564837888
25,7.3044,,1486.87,,9376,212314.7,212314.7,49766400,5318.3,5318.3,2.99e-04,2.0556,bf16,1.5B,12,162,1944,1564837888
26,7.2686,,1434.49,,9403,211694.3,211694.3,51757056,5530.0,5530.0,2.99e-04,2.0840,bf16,1.5B,12,162,1944,1564837888
